,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,weather_code,wind_speed_10m,wind_direction_10m,weather,weather_img,wind_direction_10m_ja
2024-04-18 00:00:00,11.1,94,10.4,0,1,4.7,279,Mainly Sunny,/workspaces/MyDjango/subs/weather_report/img/Mainly_Sunny.png,西
2024-04-18 01:00:00,10.4,95,9.4,0,1,6.4,313,Mainly Sunny,/workspaces/MyDjango/subs/weather_report/img/Mainly_Sunny.png,北西
2024-04-18 02:00:00,9.8,99,8.7,0,1,6.6,319,Mainly Sunny,/workspaces/MyDjango/subs/weather_report/img/Mainly_Sunny.png,北西
2024-04-18 03:00:00,10.0,97,9.5,0,2,3.0,346,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北北西
2024-04-18 04:00:00,10.1,98,9.9,0,3,1.1,180,Cloudy,/workspaces/MyDjango/subs/weather_report/img/Cloudy.png,南
2024-04-18 05:00:00,9.9,99,9.6,0,3,1.8,307,Cloudy,/workspaces/MyDjango/subs/weather_report/img/Cloudy.png,北西
2024-04-18 06:00:00,10.9,99,10.8,0,3,1.8,349,Cloudy,/workspaces/MyDjango/subs/weather_report/img/Cloudy.png,北
2024-04-18 07:00:00,11.3,99,11.6,0,3,0.7,90,Cloudy,/workspaces/MyDjango/subs/weather_report/img/Cloudy.png,東
2024-04-18 08:00:00,11.9,99,11.9,0,3,3.6,53,Cloudy,/workspaces/MyDjango/subs/weather_report/img/Cloudy.png,北東
2024-04-18 09:00:00,12.4,99,12.4,0,3,4.3,48,Cloudy,/workspaces/MyDjango/subs/weather_report/img/Cloudy.png,北東
2024-04-18 10:00:00,13.4,93,13.2,0,2,6.8,32,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北北東
2024-04-18 11:00:00,15.1,82,14.5,0,2,8.4,40,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北東
2024-04-18 12:00:00,15.8,77,15.5,0,2,10.0,41,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北東
2024-04-18 13:00:00,15.6,76,15.0,0,2,10.7,45,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北東
2024-04-18 14:00:00,14.9,80,13.9,0,2,10.7,45,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北東
2024-04-18 15:00:00,13.9,85,12.9,0,2,9.7,39,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北東
2024-04-18 16:00:00,13.8,83,12.7,0,2,9.7,39,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北東
2024-04-18 17:00:00,13.6,84,12.5,0,2,9.2,45,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北東
2024-04-18 18:00:00,12.9,83,11.8,0,2,8.5,36,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北東
2024-04-18 19:00:00,12.3,82,11.0,0,3,7.7,37,Cloudy,/workspaces/MyDjango/subs/weather_report/img/Cloudy.png,北東
2024-04-18 20:00:00,11.9,83,10.5,0,3,7.3,33,Cloudy,/workspaces/MyDjango/subs/weather_report/img/Cloudy.png,北北東
2024-04-18 21:00:00,11.5,83,10.4,0,2,5.5,32,Partly Cloudy,/workspaces/MyDjango/subs/weather_report/img/Partly_Cloudy.png,北北東
2024-04-18 22:00:00,11.1,84,10.1,0,1,4.7,9,Mainly Sunny,/workspaces/MyDjango/subs/weather_report/img/Mainly_Sunny.png,北
2024-04-18 23:00:00,10.6,87,9.6,0,1,4.6,342,Mainly Sunny,/workspaces/MyDjango/subs/weather_report/img/Mainly_Sunny.png,北北西
2024-04-19 00:00:00,10.1,90,9.0,0,1,4.6,321,Mainly Sunny,/workspaces/MyDjango/subs/weather_report/img/Mainly_Sunny.png,北西
2024-04-19 01:00:00,9.2,93,8.0,2,0,4.8,312,Clear,/workspaces/MyDjango/subs/weather_report/img/Clear.png,北西
2024-04-19 02:00:00,8.4,96,7.3,4,0,4.2,301,Clear,/workspaces/MyDjango/subs/weather_report/img/Clear.png,西北西
2024-04-19 03:00:00,7.9,98,6.6,6,0,4.4,279,Clear,/workspaces/MyDjango/subs/weather_report/img/Clear.png,西
