,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,weather_code,wind_speed_10m,wind_direction_10m,weather,weather_img,wind_direction_10m_ja
2024-05-14 00:00:00,15.0,89,15.3,10,51,5.1,8,Light Rain,Light_Rain.png,北
2024-05-14 01:00:00,15.1,74,14.6,7,2,4.7,9,Partly Cloudy,Partly_Cloudy.png,北
2024-05-14 02:00:00,14.8,70,14.0,3,2,4.4,35,Partly Cloudy,Partly_Cloudy.png,北東
2024-05-14 03:00:00,15.1,72,14.5,0,3,4.6,45,Cloudy,Cloudy.png,北東
2024-05-14 04:00:00,14.7,69,13.8,0,2,4.7,23,Partly Cloudy,Partly_Cloudy.png,北北東
2024-05-14 05:00:00,14.1,67,13.1,0,2,4.0,360,Partly Cloudy,Partly_Cloudy.png,北
2024-05-14 06:00:00,14.1,67,13.2,0,2,3.4,328,Partly Cloudy,Partly_Cloudy.png,北北西
2024-05-14 07:00:00,14.6,68,13.4,0,1,5.9,346,Mainly Sunny,Mainly_Sunny.png,北北西
2024-05-14 08:00:00,16.6,67,16.0,0,1,5.1,356,Mainly Sunny,Mainly_Sunny.png,北
2024-05-14 09:00:00,17.5,65,16.9,0,3,5.9,14,Cloudy,Cloudy.png,北北東
2024-05-14 10:00:00,18.9,58,18.3,0,3,6.4,38,Cloudy,Cloudy.png,北東
2024-05-14 11:00:00,20.1,51,20.5,0,3,7.2,63,Cloudy,Cloudy.png,東北東
2024-05-14 12:00:00,21.1,47,21.8,0,2,7.4,61,Partly Cloudy,Partly_Cloudy.png,東北東
2024-05-14 13:00:00,21.7,45,22.3,0,1,8.3,72,Mainly Sunny,Mainly_Sunny.png,東北東
2024-05-14 14:00:00,21.5,46,21.8,0,1,8.7,73,Mainly Sunny,Mainly_Sunny.png,東北東
2024-05-14 15:00:00,21.1,48,20.7,0,0,8.2,67,Clear,Clear.png,東北東
2024-05-14 16:00:00,20.5,49,19.3,0,0,7.9,66,Clear,Clear.png,東北東
2024-05-14 17:00:00,19.7,51,18.5,0,0,6.6,68,Clear,Clear.png,東北東
