,time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,weather_code,wind_speed_10m,wind_direction_10m,weather,wind_direction_10m_ja
2024-04-09 00:00:00,2024-04-09 00:00:00,15.2,99,16.3,29,2,4.2,121,Cloudy,東南東
2024-04-09 01:00:00,2024-04-09 01:00:00,15.1,99,16.3,41,3,3.4,108,Cloudy,東南東
2024-04-09 02:00:00,2024-04-09 02:00:00,14.9,99,15.9,53,3,3.7,101,Cloudy,東
2024-04-09 03:00:00,2024-04-09 03:00:00,15.0,100,16.1,65,51,4.0,95,Light Rain,東
2024-04-09 04:00:00,2024-04-09 04:00:00,15.2,99,16.7,77,63,1.5,104,Rain,東南東
2024-04-09 05:00:00,2024-04-09 05:00:00,14.4,99,15.4,88,63,2.9,90,Rain,東
2024-04-09 06:00:00,2024-04-09 06:00:00,15.0,99,15.9,100,63,4.9,126,Rain,南東
2024-04-09 07:00:00,2024-04-09 07:00:00,17.9,95,18.8,100,61,11.2,186,Rain,南
2024-04-09 08:00:00,2024-04-09 08:00:00,18.8,92,19.6,100,55,12.7,187,Light Rain,南
2024-04-09 09:00:00,2024-04-09 09:00:00,19.8,92,21.0,100,63,13.4,185,Rain,南
2024-04-09 10:00:00,2024-04-09 10:00:00,19.7,94,20.8,100,63,14.7,155,Rain,南南東
2024-04-09 11:00:00,2024-04-09 11:00:00,19.8,90,20.8,100,61,13.7,207,Rain,南南西
2024-04-09 12:00:00,2024-04-09 12:00:00,13.1,90,12.1,100,65,10.1,333,Rain,北北西
2024-04-09 13:00:00,2024-04-09 13:00:00,13.2,79,11.5,96,63,11.7,342,Rain,北北西
2024-04-09 14:00:00,2024-04-09 14:00:00,13.6,67,11.0,91,51,13.9,335,Light Rain,北北西
2024-04-09 15:00:00,2024-04-09 15:00:00,13.5,61,10.7,87,51,12.8,338,Light Rain,北北西
2024-04-09 16:00:00,2024-04-09 16:00:00,13.6,58,10.5,66,3,13.3,341,Cloudy,北北西
2024-04-09 17:00:00,2024-04-09 17:00:00,13.1,57,9.8,44,3,13.6,343,Cloudy,北北西
2024-04-09 18:00:00,2024-04-09 18:00:00,12.5,57,9.3,23,3,12.8,344,Cloudy,北北西
2024-04-09 19:00:00,2024-04-09 19:00:00,11.8,56,8.4,17,2,12.5,342,Cloudy,北北西
2024-04-09 20:00:00,2024-04-09 20:00:00,10.8,57,7.2,12,1,12.8,338,Cloudy,北北西
2024-04-09 21:00:00,2024-04-09 21:00:00,9.9,57,6.1,6,0,13.0,336,Clear,北北西
2024-04-09 22:00:00,2024-04-09 22:00:00,8.7,54,4.6,4,0,13.7,333,Clear,北北西
2024-04-09 23:00:00,2024-04-09 23:00:00,7.8,52,3.5,2,0,13.0,336,Clear,北北西
2024-04-10 00:00:00,2024-04-10 00:00:00,7.2,52,3.0,0,0,12.0,339,Clear,北北西
2024-04-10 01:00:00,2024-04-10 01:00:00,6.8,51,2.6,0,0,11.4,342,Clear,北北西
2024-04-10 02:00:00,2024-04-10 02:00:00,6.3,51,2.1,0,0,11.1,347,Clear,北北西
2024-04-10 03:00:00,2024-04-10 03:00:00,5.8,52,1.7,0,0,10.5,354,Clear,北
2024-04-10 04:00:00,2024-04-10 04:00:00,5.3,53,1.4,0,0,8.6,360,Clear,北
2024-04-10 05:00:00,2024-04-10 05:00:00,4.9,55,1.3,0,0,6.6,13,Clear,北北東
