,time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,weather_code,wind_speed_10m,wind_direction_10m,weather,weather_img,wind_direction_10m_ja
2024-04-13 00:00:00,2024-04-13 00:00:00,9.8,90,8.4,0,0,6.1,320,Clear,diary:Clear.png,北西
2024-04-13 01:00:00,2024-04-13 01:00:00,8.8,89,7.3,0,0,4.9,287,Clear,diary:Clear.png,西北西
2024-04-13 02:00:00,2024-04-13 02:00:00,8.9,86,7.3,0,1,5.1,266,Mainly Sunny,diary:Mainly_Sunny.png,西
2024-04-13 03:00:00,2024-04-13 03:00:00,8.6,87,6.8,0,0,6.1,270,Clear,diary:Clear.png,西
2024-04-13 04:00:00,2024-04-13 04:00:00,8.2,92,6.6,0,1,6.1,315,Mainly Sunny,diary:Mainly_Sunny.png,北西
2024-04-13 05:00:00,2024-04-13 05:00:00,7.8,97,6.4,0,1,5.0,339,Mainly Sunny,diary:Mainly_Sunny.png,北北西
2024-04-13 06:00:00,2024-04-13 06:00:00,8.1,99,6.6,0,3,7.0,339,Cloudy,diary:Cloudy.png,北北西
2024-04-13 07:00:00,2024-04-13 07:00:00,9.4,99,8.8,0,3,2.6,344,Cloudy,diary:Cloudy.png,北北西
2024-04-13 08:00:00,2024-04-13 08:00:00,10.4,97,10.3,0,2,1.3,326,Partly Cloudy,diary:Partly_Cloudy.png,北西
2024-04-13 09:00:00,2024-04-13 09:00:00,13.9,78,13.8,0,1,1.6,27,Mainly Sunny,diary:Mainly_Sunny.png,北北東
2024-04-13 10:00:00,2024-04-13 10:00:00,17.5,59,17.5,0,0,5.6,45,Clear,diary:Clear.png,北東
2024-04-13 11:00:00,2024-04-13 11:00:00,19.0,51,19.0,0,0,8.9,43,Clear,diary:Clear.png,北東
2024-04-13 12:00:00,2024-04-13 12:00:00,19.3,50,19.4,0,0,10.7,42,Clear,diary:Clear.png,北東
2024-04-13 13:00:00,2024-04-13 13:00:00,19.6,47,19.5,0,0,10.7,42,Clear,diary:Clear.png,北東
2024-04-13 14:00:00,2024-04-13 14:00:00,19.4,47,18.7,0,0,10.7,48,Clear,diary:Clear.png,北東
2024-04-13 15:00:00,2024-04-13 15:00:00,18.9,44,17.2,0,0,10.0,52,Clear,diary:Clear.png,北東
2024-04-13 16:00:00,2024-04-13 16:00:00,17.2,52,15.2,0,0,9.1,56,Clear,diary:Clear.png,北東
2024-04-13 17:00:00,2024-04-13 17:00:00,16.0,57,14.3,0,0,7.1,49,Clear,diary:Clear.png,北東
