,time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation_probability,weather_code,wind_speed_10m,wind_direction_10m,weather,wind_direction_10m_ja
2024-04-12 00:00:00,2024-04-12 00:00:00,17.0,91,18.1,45,80,5.0,60,Showers,東北東
2024-04-12 01:00:00,2024-04-12 01:00:00,16.7,92,17.7,62,61,6.0,73,Rain,東北東
2024-04-12 02:00:00,2024-04-12 02:00:00,16.5,91,17.3,80,3,6.3,66,Cloudy,東北東
2024-04-12 03:00:00,2024-04-12 03:00:00,16.8,91,18.2,97,61,2.6,56,Rain,北東
2024-04-12 04:00:00,2024-04-12 04:00:00,16.6,91,18.0,95,3,2.6,56,Cloudy,北東
2024-04-12 05:00:00,2024-04-12 05:00:00,16.5,91,17.9,92,3,2.3,51,Cloudy,北東
2024-04-12 06:00:00,2024-04-12 06:00:00,16.6,91,18.1,90,3,1.1,18,Cloudy,北北東
2024-04-12 07:00:00,2024-04-12 07:00:00,16.4,91,17.8,74,3,2.2,81,Cloudy,東
2024-04-12 08:00:00,2024-04-12 08:00:00,16.6,92,18.2,58,3,1.1,198,Cloudy,南南西
2024-04-12 09:00:00,2024-04-12 09:00:00,17.0,93,18.6,42,3,2.3,141,Cloudy,南東
2024-04-12 10:00:00,2024-04-12 10:00:00,17.8,91,19.5,33,3,3.2,153,Cloudy,南南東
2024-04-12 11:00:00,2024-04-12 11:00:00,19.0,85,20.3,25,3,6.5,161,Cloudy,南南東
2024-04-12 12:00:00,2024-04-12 12:00:00,20.4,79,21.8,16,3,5.9,169,Cloudy,南
2024-04-12 13:00:00,2024-04-12 13:00:00,21.0,76,22.8,21,3,3.7,169,Cloudy,南
2024-04-12 14:00:00,2024-04-12 14:00:00,21.6,75,23.6,27,3,3.0,104,Cloudy,東南東
2024-04-12 15:00:00,2024-04-12 15:00:00,22.2,67,23.4,32,3,5.8,86,Cloudy,東
2024-04-12 16:00:00,2024-04-12 16:00:00,23.1,64,24.2,30,3,6.8,93,Cloudy,東
2024-04-12 17:00:00,2024-04-12 17:00:00,23.1,64,24.0,28,2,8.0,100,Cloudy,東
2024-04-12 18:00:00,2024-04-12 18:00:00,22.6,66,23.4,26,2,8.7,107,Cloudy,東南東
2024-04-12 19:00:00,2024-04-12 19:00:00,21.7,70,22.5,17,1,8.7,120,Cloudy,東南東
2024-04-12 20:00:00,2024-04-12 20:00:00,20.2,77,21.2,9,0,7.3,123,Clear,東南東
2024-04-12 21:00:00,2024-04-12 21:00:00,19.1,81,20.2,0,0,6.2,126,Clear,南東
2024-04-12 22:00:00,2024-04-12 22:00:00,18.2,84,19.2,0,0,5.6,130,Clear,南東
2024-04-12 23:00:00,2024-04-12 23:00:00,17.5,89,18.6,0,0,5.4,132,Clear,南東
2024-04-13 00:00:00,2024-04-13 00:00:00,17.0,92,18.2,0,0,5.4,132,Clear,南東
2024-04-13 01:00:00,2024-04-13 01:00:00,16.7,93,17.8,0,0,5.2,124,Clear,南東
2024-04-13 02:00:00,2024-04-13 02:00:00,16.3,93,17.4,0,0,4.5,104,Clear,東南東
2024-04-13 03:00:00,2024-04-13 03:00:00,15.9,94,16.9,0,0,4.4,99,Clear,東
2024-04-13 04:00:00,2024-04-13 04:00:00,15.6,94,16.4,0,0,4.8,103,Clear,東南東
2024-04-13 05:00:00,2024-04-13 05:00:00,15.4,95,16.1,0,0,5.2,102,Clear,東南東
2024-04-13 06:00:00,2024-04-13 06:00:00,15.2,96,15.9,0,1,5.6,105,Cloudy,東南東
2024-04-13 07:00:00,2024-04-13 07:00:00,15.2,97,15.9,0,2,6.4,106,Cloudy,東南東
2024-04-13 08:00:00,2024-04-13 08:00:00,16.2,95,16.7,0,3,8.6,112,Cloudy,東南東
2024-04-13 09:00:00,2024-04-13 09:00:00,17.9,90,18.2,0,3,12.7,115,Cloudy,東南東
2024-04-13 10:00:00,2024-04-13 10:00:00,19.8,82,19.8,0,3,15.8,114,Cloudy,東南東
2024-04-13 11:00:00,2024-04-13 11:00:00,21.5,74,21.6,0,3,17.6,118,Cloudy,東南東
2024-04-13 12:00:00,2024-04-13 12:00:00,22.4,70,22.6,0,3,18.2,117,Cloudy,東南東
2024-04-13 13:00:00,2024-04-13 13:00:00,23.0,67,23.2,0,3,18.9,114,Cloudy,東南東
2024-04-13 14:00:00,2024-04-13 14:00:00,24.1,61,24.3,0,3,19.3,114,Cloudy,東南東
2024-04-13 15:00:00,2024-04-13 15:00:00,24.9,56,24.7,0,3,19.6,116,Cloudy,東南東
2024-04-13 16:00:00,2024-04-13 16:00:00,25.3,54,24.7,0,3,19.2,120,Cloudy,東南東
2024-04-13 17:00:00,2024-04-13 17:00:00,25.0,54,23.9,0,3,18.8,116,Cloudy,東南東
2024-04-13 18:00:00,2024-04-13 18:00:00,24.4,56,23.5,0,3,17.6,116,Cloudy,東南東
2024-04-13 19:00:00,2024-04-13 19:00:00,23.3,60,22.8,0,3,14.8,113,Cloudy,東南東
2024-04-13 20:00:00,2024-04-13 20:00:00,22.1,66,22.0,0,3,13.3,103,Cloudy,東南東
2024-04-13 21:00:00,2024-04-13 21:00:00,21.4,68,21.2,0,3,13.6,107,Cloudy,東南東
2024-04-13 22:00:00,2024-04-13 22:00:00,20.8,72,20.7,6,3,13.6,107,Cloudy,東南東
2024-04-13 23:00:00,2024-04-13 23:00:00,20.3,75,20.4,13,3,12.6,110,Cloudy,東南東
2024-04-14 00:00:00,2024-04-14 00:00:00,19.4,80,19.5,19,80,13.0,118,Showers,東南東
2024-04-14 01:00:00,2024-04-14 01:00:00,18.8,86,19.2,37,80,12.6,110,Showers,東南東
2024-04-14 02:00:00,2024-04-14 02:00:00,18.5,88,18.6,56,81,14.5,104,Showers,東南東
2024-04-14 03:00:00,2024-04-14 03:00:00,18.4,90,18.7,74,80,14.0,108,Showers,東南東
2024-04-14 04:00:00,2024-04-14 04:00:00,18.2,91,18.4,77,2,14.8,108,Cloudy,東南東
2024-04-14 05:00:00,2024-04-14 05:00:00,18.1,91,18.3,81,3,14.0,113,Cloudy,東南東
2024-04-14 06:00:00,2024-04-14 06:00:00,18.0,92,18.5,84,2,12.4,112,Cloudy,東南東
2024-04-14 07:00:00,2024-04-14 07:00:00,17.9,92,18.6,60,3,10.9,117,Cloudy,東南東
2024-04-14 08:00:00,2024-04-14 08:00:00,18.3,91,19.2,37,3,10.7,123,Cloudy,東南東
2024-04-14 09:00:00,2024-04-14 09:00:00,19.5,89,20.8,13,3,9.5,127,Cloudy,南東
2024-04-14 10:00:00,2024-04-14 10:00:00,21.2,86,23.2,12,3,8.7,138,Cloudy,南東
2024-04-14 11:00:00,2024-04-14 11:00:00,22.9,83,25.9,11,3,5.9,169,Cloudy,南
2024-04-14 12:00:00,2024-04-14 12:00:00,25.1,77,28.4,10,3,6.3,239,Cloudy,西南西
2024-04-14 13:00:00,2024-04-14 13:00:00,25.8,71,28.0,21,80,12.5,282,Showers,西北西
2024-04-14 14:00:00,2024-04-14 14:00:00,26.1,69,28.0,31,2,16.3,295,Cloudy,西北西
2024-04-14 15:00:00,2024-04-14 15:00:00,26.9,65,29.2,42,2,14.3,295,Cloudy,西北西
2024-04-14 16:00:00,2024-04-14 16:00:00,28.3,56,29.3,38,1,18.8,287,Cloudy,西北西
2024-04-14 17:00:00,2024-04-14 17:00:00,28.1,54,28.0,33,2,20.9,297,Cloudy,西北西
2024-04-14 18:00:00,2024-04-14 18:00:00,26.8,59,26.9,29,2,19.6,306,Cloudy,北西
2024-04-14 19:00:00,2024-04-14 19:00:00,25.6,63,26.2,19,1,15.5,312,Cloudy,北西
2024-04-14 20:00:00,2024-04-14 20:00:00,23.9,67,24.7,10,0,12.5,321,Clear,北西
